,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
330,WABC,Westamerica Bancorporation,1.25B,0.94%,33179,324.80M
331,SRCE,1st Source Corporation,1.25B,0.09%,13998,363.40M
332,NRDS,"NerdWallet, Inc.",1.23B,-0.88%,78206,599.40M
333,PWP,Perella Weinberg Partners,1.22B,-0.42%,50913,648.65M
334,NIC,"Nicolet Bankshares, Inc.",1.22B,0.55%,13630,272.50M
335,TRUP,"Trupanion, Inc.",1.20B,1.72%,124717,1.11B
336,SAFT,"Safety Insurance Group, Inc.",1.19B,1.05%,16024,930.96M
337,LMND,"Lemonade, Inc.",1.19B,2.37%,1026692,429.80M
338,STBA,"S&T Bancorp, Inc.",1.19B,0.22%,46152,389.14M
339,ECPG,"Encore Capital Group, Inc.",1.16B,-1.16%,51665,1.22B
340,TCBK,TriCo Bancshares,1.15B,0.40%,50570,394.09M
341,PFS,"Provident Financial Services, Inc.",1.13B,-0.53%,184062,451.38M
342,CET,Central Securities Corp.,1.13B,0.20%,14560,57.37M
343,EIG,"Employers Holdings, Inc.",1.13B,-0.94%,32415,850.90M
344,HCI,"HCI Group, Inc.",1.12B,0.80%,76044,550.67M
345,CSWC,Capital Southwest Corporation,1.07B,0.32%,240462,168.90M
346,VBTX,"Veritex Holdings, Inc.",1.06B,-0.72%,288741,377.75M
347,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.05B,-0.28%,32543,166.67M
348,BCSF,"Bain Capital Specialty Finance, Inc.",1.03B,0.19%,171911,297.79M
349,BBDC,"Barings BDC, Inc.",1.01B,-1.05%,441416,289.20M
350,SCRM,Screaming Eagle Acquisition Corp.,1.00B,0.09%,14346,-
351,PFBC,Preferred Bank,999.44M,0.16%,21860,351.76M
352,AMSF,"AMERISAFE, Inc.",998.46M,-0.31%,65709,306.85M
353,SASR,"Sandy Spring Bancorp, Inc.",994.08M,-0.54%,146866,439.19M
354,PEBO,Peoples Bancorp Inc.,985.65M,-0.36%,17974,411.61M
355,CVII,Churchill Capital Corp VII,976.08M,0.05%,554014,-
356,GABC,"German American Bancorp, Inc.",972.74M,-0.21%,37622,248.14M
357,PX,"P10, Inc.",963.73M,1.09%,506230,237.01M
358,PRAA,"PRA Group, Inc.",961.56M,-1.76%,66035,802.55M
359,BHLB,"Berkshire Hills Bancorp, Inc.",961.48M,0.79%,47899,411.83M
360,RBCAA,"Republic Bancorp, Inc.",959.87M,-0.46%,1266,311.88M
361,QCRH,"QCR Holdings, Inc.",955.01M,-0.16%,7779,337.15M
362,MFIC,MidCap Financial Investment Corporation,954.66M,-,238562,276.52M
363,OBK,"Origin Bancorp, Inc.",952.90M,-1.92%,45252,341.14M
364,SII,Sprott Inc.,943.22M,0.67%,24027,169.02M
365,CIFR,Cipher Mining Inc.,929.51M,9.09%,5017989,-
