,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
207,TCTM,TCTM Kids IT Education Inc.,16.48M,-3.86%,119595,293.63M
208,MTEX,"Mannatech, Incorporated",15.90M,-2.73%,146,133.60M
209,BRFH,"Barfresh Food Group, Inc.",15.60M,-,12755,7.64M
210,EDTK,Skillful Craftsman Education Technology Limited,14.29M,1.64%,4602,5.52M
211,PAVS,Paranovus Entertainment Technology Ltd.,13.79M,-4.63%,512,51.46M
212,EEIQ,EpicQuest Education Group International Limited,12.70M,8.16%,11071,5.71M
213,GSUN,Golden Sun Education Group Limited,12.41M,3.62%,19713,6.16M
214,PETZ,"TDH Holdings, Inc.",12.28M,1.68%,22431,3.20M
215,LSF,"Laird Superfood, Inc.",11.32M,44.62%,12442593,33.99M
216,TKLF,"Yoshitsu Co., Ltd",11.02M,-3.10%,96172,166.27M
217,VINE,"Fresh Vine Wine, Inc.",10.55M,5.89%,40135,1.83M
218,GV,Visionary Education Technology Holdings Group Inc.,9.45M,-2.58%,53453,8.43M
219,BOF,BranchOut Food Inc.,8.98M,-0.89%,20511,1.37M
220,WAFU,Wah Fu Education Group Limited,8.42M,2.53%,3488,10.69M
221,AQB,"AquaBounty Technologies, Inc.",8.06M,0.96%,12257,2.37M
222,JVA,"Coffee Holding Co., Inc.",7.99M,-6.43%,27165,68.17M
223,LQR,LQR House Inc.,7.62M,-5.03%,100081,880.44K
224,BTCT,BTC Digital Ltd.,7.40M,-4.77%,12017,-20.57M
225,BON,Bon Natural Life Limited,6.12M,1.92%,13950,29.52M
226,KAVL,"Kaival Brands Innovations Group, Inc.",5.83M,-0.63%,114522,13.09M
227,AMBO,Ambow Education Holding Ltd.,5.73M,-4.46%,21261,14.68M
228,XXII,"22nd Century Group, Inc.",5.65M,4.65%,748366,82.41M
229,FAMI,"Farmmi, Inc.",5.55M,-1.34%,44669,110.36M
230,BRSH,Bruush Oral Care Inc.,5.28M,-2.68%,3553227,-
231,BTTR,Better Choice Company Inc.,4.48M,1.86%,494759,42.16M
232,SNAX,"Stryve Foods, Inc.",3.56M,1.60%,21509,20.23M
233,CLEU,China Liberal Education Holdings Limited,3.26M,-9.85%,332950,17.89M
234,TANH,Tantech Holdings Ltd,2.66M,-1.02%,42124,46.21M
235,EDBL,Edible Garden AG Incorporated,1.94M,0.57%,99097,13.04M
236,NUZE,"NuZee, Inc.",1.94M,-3.47%,3079,3.35M
237,GNLN,"Greenlane Holdings, Inc.",1.83M,-1.37%,8617,77.34M
238,EAST,"Eastside Distilling, Inc.",1.82M,5.92%,90542,10.81M
239,BSFC,Blue Star Foods Corp.,1.80M,2.26%,553250,7.17M
240,AGRI,AgriFORCE Growing Systems Ltd.,806.36K,5.19%,1080178,-
