,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
292,AMBA,"Ambarella, Inc.",2.23B,-3.30%,243238,258.18M
293,RUM,Rumble Inc.,2.21B,10.25%,14027454,80.53M
294,VZIO,VIZIO Holding Corp.,2.21B,-0.13%,743491,1.68B
295,VYX,NCR Voyix Corporation,2.20B,0.71%,1974265,7.90B
296,PLUS,ePlus inc.,2.19B,2.09%,71169,2.16B
297,PRFT,"Perficient, Inc.",2.19B,0.52%,39984,906.54M
298,ROG,Rogers Corporation,2.18B,0.77%,75806,908.40M
299,DAVA,Endava plc,2.17B,-0.29%,356259,968.73M
300,PD,"PagerDuty, Inc.",2.16B,0.81%,499287,420.55M
301,SITM,SiTime Corporation,2.14B,-2.02%,91461,143.99M
302,SOUN,"SoundHound AI, Inc.",2.14B,17.75%,104336348,45.87M
303,XRX,Xerox Holdings Corporation,2.10B,0.24%,1291731,6.89B
304,LSPD,Lightspeed Commerce Inc.,2.10B,0.52%,292869,863.28M
305,SHLS,"Shoals Technologies Group, Inc.",2.07B,-0.21%,1579494,488.94M
306,AGYS,"Agilysys, Inc.",2.06B,0.14%,34438,228.14M
307,IONQ,"IonQ, Inc.",2.06B,-0.05%,5249391,22.04M
308,UCTT,"Ultra Clean Holdings, Inc.",2.05B,-2.98%,67129,1.73B
309,SWI,SolarWinds Corporation,2.04B,0.69%,86641,758.74M
310,VECO,Veeco Instruments Inc.,1.98B,-1.34%,106522,666.44M
311,DQ,Daqo New Energy Corp.,1.94B,-0.82%,824153,2.31B
312,VRNT,Verint Systems Inc.,1.93B,1.04%,137796,881.53M
313,BMBL,Bumble Inc.,1.92B,-0.78%,1390519,1.05B
314,PLAB,"Photronics, Inc.",1.87B,0.20%,230010,897.32M
315,EVCM,EverCommerce Inc.,1.84B,-0.26%,65217,667.73M
316,FSLY,"Fastly, Inc.",1.84B,-2.04%,3128055,505.99M
317,ARRY,"Array Technologies, Inc.",1.83B,-1.48%,2364074,1.58B
318,UPBD,"Upbound Group, Inc.",1.83B,-0.39%,317764,3.99B
319,BB,BlackBerry Limited,1.80B,1.14%,16109470,831.00M
320,ACMR,"ACM Research, Inc.",1.79B,-1.60%,591934,557.72M
321,GRND,Grindr Inc.,1.75B,0.90%,477993,259.69M
322,COMP,"Compass, Inc.",1.73B,4.06%,1580519,4.89B
323,CNXN,"PC Connection, Inc.",1.73B,-0.12%,12245,2.85B
324,SPNS,Sapiens International Corporation N.V.,1.70B,0.51%,34990,514.58M
325,NTCT,"NetScout Systems, Inc.",1.70B,0.65%,448482,834.11M
326,MXL,"MaxLinear, Inc.",1.69B,-3.92%,246528,693.26M
327,PRO,"PROS Holdings, Inc.",1.69B,0.08%,62796,303.71M
328,VTEX,VTEX,1.66B,-0.11%,201234,201.52M
329,PAYO,Payoneer Global Inc.,1.66B,-0.22%,1001802,831.10M
330,VICR,Vicor Corporation,1.61B,-0.55%,137576,405.06M
331,SEMR,"Semrush Holdings, Inc.",1.61B,0.81%,198036,307.68M
332,NATL,NCR Atleos Corporation,1.60B,0.20%,196089,-
333,DCBO,Docebo Inc.,1.59B,-0.71%,44287,180.84M
334,CSGS,"CSG Systems International, Inc.",1.57B,-1.46%,52374,1.17B
335,EXTR,"Extreme Networks, Inc.",1.52B,-2.51%,1265557,1.35B
336,GCT,GigaCloud Technology Inc.,1.50B,3.71%,1787491,584.70M
337,SMTC,Semtech Corporation,1.50B,-1.80%,381068,843.32M
338,COHU,"Cohu, Inc.",1.50B,-0.75%,116934,636.32M
339,TTMI,"TTM Technologies, Inc.",1.49B,-0.68%,105341,2.23B
340,STER,Sterling Check Corp.,1.48B,-,511043,719.64M
341,GDS,GDS Holdings Limited,1.46B,12.16%,2606055,1.35B
342,HLIT,Harmonic Inc.,1.45B,-0.19%,395009,607.91M
343,JKS,"JinkoSolar Holding Co., Ltd.",1.44B,-1.37%,403256,15.94B
344,AVPT,"AvePoint, Inc.",1.44B,0.38%,236771,271.83M
345,EVBG,"Everbridge, Inc.",1.44B,0.03%,334869,448.79M
346,KN,Knowles Corporation,1.43B,-1.88%,251992,707.60M
347,CTS,CTS Corporation,1.37B,0.72%,35720,550.42M
348,MLNK,"MeridianLink, Inc.",1.36B,0.76%,61461,299.59M
349,ZUO,"Zuora, Inc.",1.35B,-2.98%,420633,424.03M
350,PDFS,"PDF Solutions, Inc.",1.34B,-0.69%,118765,165.84M
351,AMPL,"Amplitude, Inc.",1.34B,0.36%,207299,276.28M
352,BASE,"Couchbase, Inc.",1.33B,0.40%,265233,171.57M
353,CRSR,"Corsair Gaming, Inc.",1.32B,0.16%,156179,1.46B
354,CSIQ,Canadian Solar Inc.,1.31B,-0.79%,811297,7.88B
355,DBD,"Diebold Nixdorf, Incorporated",1.27B,-1.31%,50140,3.49B
356,ETWO,"E2open Parent Holdings, Inc.",1.27B,-1.81%,264554,642.37M
357,ICHR,"Ichor Holdings, Ltd.",1.26B,-10.51%,293091,811.12M
358,PAR,PAR Technology Corporation,1.24B,-2.54%,210512,415.82M
359,SGH,"SMART Global Holdings, Inc.",1.21B,-1.32%,347483,1.25B
360,ADEA,Adeia Inc.,1.19B,0.18%,174625,388.79M
361,INDI,"indie Semiconductor, Inc.",1.16B,-1.28%,915433,223.17M
362,FORTY,Formula Systems (1985) Ltd.,1.14B,1.19%,48,2.64B
363,IMOS,ChipMOS TECHNOLOGIES INC.,1.12B,-0.07%,20571,766.03M
364,TUYA,Tuya Inc.,1.12B,3.09%,214333,229.99M
365,TASK,"TaskUs, Inc.",1.11B,-0.44%,49231,924.37M
366,ATEN,"A10 Networks, Inc.",1.11B,-0.88%,438807,251.70M
367,DGII,Digi International Inc.,1.09B,-1.08%,36631,441.63M
