,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
329,QRTEB,"Qurate Retail, Inc.",549.49M,-,1567,10.92B
330,PACK,Ranpak Holdings Corp.,547.67M,0.98%,1766693,325.30M
331,LQDT,"Liquidity Services, Inc.",544.34M,0.25%,30830,313.51M
332,TAST,"Carrols Restaurant Group, Inc.",544.01M,0.05%,176944,1.88B
333,QRTEA,"Qurate Retail, Inc.",540.33M,-3.10%,1506385,10.92B
334,HVT,"Haverty Furniture Companies, Inc.",532.81M,1.90%,73989,862.13M
335,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,524.86M,-,151974,907.59M
336,RICK,"RCI Hospitality Holdings, Inc.",521.15M,-0.20%,16784,297.73M
337,HVT.A,"Haverty Furniture Companies, Inc.",518.46M,-4.08%,102,862.13M
338,HLLY,Holley Inc.,489.46M,1.09%,252517,658.16M
339,DENN,Denny's Corporation,479.69M,-2.23%,143095,463.92M
340,SRI,"Stoneridge, Inc.",458.49M,2.34%,24840,975.82M
341,LIND,"Lindblad Expeditions Holdings, Inc.",450.41M,-0.83%,108800,569.54M
342,JOUT,Johnson Outdoors Inc.,445.90M,0.74%,11249,624.15M
343,CURV,Torrid Holdings Inc.,443.48M,-3.76%,69321,1.19B
344,HNST,"The Honest Company, Inc.",431.52M,4.78%,1266054,344.37M
345,NEGG,"Newegg Commerce, Inc.",421.94M,0.45%,185192,-
346,CRMT,"America's Car-Mart, Inc.",403.79M,-1.10%,62952,1.42B
347,CSV,"Carriage Services, Inc.",398.98M,-1.54%,67115,382.52M
348,MED,"Medifast, Inc.",398.78M,-0.77%,157647,1.07B
349,ONEW,OneWater Marine Inc.,391.04M,0.37%,20041,1.93B
350,SNBR,Sleep Number Corporation,364.96M,1.45%,149504,1.89B
351,NAAS,NaaS Technology Inc.,364.39M,-23.49%,4672772,-
352,MPX,Marine Products Corporation,361.74M,0.29%,11585,383.73M
353,MCFT,"MasterCraft Boat Holdings, Inc.",357.54M,-,34340,537.04M
354,REAL,"The RealReal, Inc.",351.77M,-1.79%,1525407,549.30M
355,PBPB,Potbelly Corporation,350.79M,-1.86%,161842,491.41M
356,BBW,"Build-A-Bear Workshop, Inc.",350.78M,1.08%,266400,481.95M
357,UHG,"United Homes Group, Inc.",350.10M,1.04%,5029,419.74M
358,AGS,"PlayAGS, Inc.",348.69M,0.22%,121085,356.54M
359,LOVE,The Lovesac Company,342.00M,4.19%,152716,688.24M
360,FNKO,"Funko, Inc.",337.52M,1.02%,272192,1.10B
361,MYTE,MYT Netherlands Parent B.V.,330.22M,-2.67%,48864,874.94M
362,GHG,GreenTree Hospitality Group Ltd.,326.97M,0.31%,3794,-
363,GAMB,Gambling.com Group Limited,325.89M,0.23%,32735,97.47M
364,GGR,Gogoro Inc.,317.71M,-,435717,349.85M
365,YSG,Yatsen Holding Limited,317.52M,8.18%,1187232,481.63M
366,HYLN,Hyliion Holdings Corp.,316.03M,3.24%,451250,672.00K
