,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
212,MAN,ManpowerGroup Inc.,3.59B,0.75%,95585,18.91B
213,STRL,"Sterling Infrastructure, Inc.",3.46B,-1.69%,104265,1.97B
214,WIRE,Encore Wire Corporation,3.44B,3.82%,202786,2.57B
215,CXT,"Crane NXT, Co.",3.43B,1.85%,186564,1.39B
216,HI,"Hillenbrand, Inc.",3.41B,-0.42%,49584,2.94B
217,GFF,Griffon Corporation,3.40B,-0.23%,126081,2.68B
218,KFY,Korn Ferry,3.36B,0.78%,182383,2.83B
219,ENOV,Enovis Corporation,3.36B,-0.54%,88085,1.71B
220,JBT,John Bean Technologies Corporation,3.32B,0.64%,74774,1.66B
221,NPO,"EnPro Industries, Inc.",3.30B,0.10%,25711,1.06B
222,REZI,"Resideo Technologies, Inc.",3.30B,1.34%,293805,6.24B
223,UNF,UniFirst Corporation,3.24B,1.53%,25260,2.28B
224,CRS,Carpenter Technology Corporation,3.19B,1.95%,105077,2.72B
225,ARCB,ArcBest Corporation,3.16B,0.11%,221072,4.43B
226,WOR,"Worthington Industries, Inc.",3.14B,0.98%,77038,4.61B
227,SEB,Seaboard Corporation,3.12B,2.50%,2143,9.56B
228,HAYW,"Hayward Holdings, Inc.",3.04B,1.73%,592364,992.45M
229,MGRC,McGrath RentCorp,2.96B,0.09%,136741,831.84M
230,DOOR,Masonite International Corporation,2.87B,0.06%,344219,2.83B
231,ICFI,"ICF International, Inc.",2.86B,0.45%,31841,1.96B
232,BRC,Brady Corporation,2.79B,-0.26%,136365,1.34B
233,SKYW,"SkyWest, Inc.",2.71B,0.55%,198552,2.94B
234,ROAD,"Construction Partners, Inc.",2.70B,2.58%,82025,1.62B
235,GOGL,Golden Ocean Group Limited,2.68B,-1.86%,1310032,885.77M
236,KTOS,"Kratos Defense & Security Solutions, Inc.",2.67B,-1.09%,413694,1.04B
237,HUBG,"Hub Group, Inc.",2.66B,-0.07%,82643,4.20B
238,ABM,ABM Industries Incorporated,2.64B,1.24%,201617,8.17B
239,MYRG,MYR Group Inc.,2.62B,0.30%,78999,3.64B
240,LZ,"LegalZoom.com, Inc.",2.55B,0.44%,376346,660.73M
241,RXO,"RXO, Inc.",2.50B,-1.87%,144400,3.93B
242,WERN,"Werner Enterprises, Inc.",2.49B,0.28%,194619,3.28B
243,MWA,"Mueller Water Products, Inc.",2.44B,-,323457,1.22B
244,PLUG,Plug Power Inc.,2.42B,-5.23%,26238374,891.34M
245,ALG,Alamo Group Inc.,2.41B,2.98%,21086,1.69B
246,PGTI,"PGT Innovations, Inc.",2.40B,-,344149,1.50B
247,HTZ,"Hertz Global Holdings, Inc.",2.39B,-0.51%,1537171,9.37B
248,GVA,Granite Construction Incorporated,2.37B,1.43%,166730,3.51B
249,JBLU,JetBlue Airways Corporation,2.36B,1.15%,7244380,9.62B
250,BE,Bloom Energy Corporation,2.32B,-1.75%,2030072,1.33B
251,ROCK,"Gibraltar Industries, Inc.",2.31B,0.45%,61919,1.38B
252,FA,First Advantage Corporation,2.30B,0.35%,355086,763.76M
253,MIR,"Mirion Technologies, Inc.",2.29B,-1.29%,1048535,800.90M
254,AIR,AAR Corp.,2.27B,1.61%,105403,2.17B
